#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.105614, 0.000000
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.105614, 0.000000
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.086650, -0.009884
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.089365, -0.004327
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.098559, 0.003034
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.102169, -0.001139
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.097298, 0.003255
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.093698, -0.001209
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.093698, -0.013234
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.097300, 0.001714
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.101805, 0.003316
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.106915, 0.004986
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.103293, -0.004360
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.099713, -0.001886
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.099713, -0.002050
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.099713, -0.001186
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.099713, -0.002050
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.102098, 0.000664
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.108076, 0.007136
A/canine/Beijing/359/2009|2009-12-17, 2009.95, 0.105694, 0.004713
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.105694, 0.004713
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.105694, 0.004733
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.105694, 0.004713
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.103295, -0.000013
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.103296, -0.006189
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.103296, -0.006189
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.103296, -0.005654
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.103297, -0.004479
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.104491, -0.003285
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.104491, 0.001183
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.104490, -0.004460
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.105684, 0.002191
A/canine/Korea/AS-01/2009|2009-09-18, 2009.71, 0.100907, 0.000420
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.103304, 0.002035
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.103305, 0.002345
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.103305, 0.002201
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.102098, -0.000510
A/canine/Beijing/420/2010|2010-01-08, 2010.02, 0.100909, -0.000217
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.100909, -0.000711
