	given_date	apparent_date	residual
A/canine/Guangdong/1/2006|2006-06-01	2006.41	1994.3038818787966	-6.179958767462716
A/canine/Beijing/364/2009|2009-12-17	2009.95	1997.3925082677297	-6.41037699708729
A/canine/Korea/MV1/2012|2012-11-07	2012.84	2002.9112988022	-5.068426014230955
A/canine/Korea/VC378/2012|2012-03-13	2012.2	2002.9112988022	-4.74171735571818
A/canine/China/LG1/2015|2015-12-16	2015.95	2027.2112639511001	5.748675685348016
A/canine/China/LG2/2015|2015-12-16	2015.95	2026.6123060569093	5.4429182945406325
A/canine/Beijing/20150118-256/2015|2015-01-18	2015.05	2023.5497756822463	4.3389848606352235
A/canine/Beijing/CAU-511/2011|2011-05-01	2011.33	2020.966977036578	4.919505999592734
A/canine/Beijing/CAU-501/2001|2001-05-01	2001.33	2020.966977036578	10.024328788855618
A/canine/Beijing/CAU-510/2010|2010-05-01	2010.33	2020.966977036578	5.429988278519022
A/canine/Beijing/CAU-JC2538/2010|2010-08-01	2010.58	2021.5750504135315	5.612778392008932
A/canine/Beijing/CAU-JC2550/2010|2010-08-01	2010.58	2021.5750504135315	5.612778392008932
