#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.053731, 0.000534
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.052663, -0.000534
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.041362, -0.004357
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.043706, -0.002233
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.042771, -0.004097
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.042309, -0.005192
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.044637, -0.002270
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.044232, -0.002249
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.044232, -0.009792
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.047279, -0.001450
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.053707, 0.001956
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.056034, 0.004167
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.053703, -0.001587
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.052770, 0.001019
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.055093, -0.000196
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.053696, -0.000858
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.055091, 0.000538
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.052770, -0.002855
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.052770, -0.002855
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.050265, -0.000207
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.050268, -0.000423
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.050268, -0.000423
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.048573, -0.001705
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.050274, -0.000017
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.050440, -0.000871
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.053710, 0.001960
