#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.105474, 0.000000
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.105474, 0.000000
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.086750, -0.009643
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.089224, -0.004326
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.098418, 0.003035
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.102028, -0.001140
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.097156, 0.003255
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.093556, -0.001210
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.093556, -0.013236
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.097160, 0.001715
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.101667, 0.003318
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.105554, -0.000950
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.105554, -0.000970
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.100765, -0.004379
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.101961, -0.003677
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.101961, -0.003883
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.104349, -0.002752
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.103156, -0.003862
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.105551, -0.003465
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.112734, -0.000462
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.115136, 0.001940
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.110337, -0.001005
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.111536, -0.001536
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.116325, 0.003253
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.112796, 0.001433
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.112796, 0.001453
