#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/S1/2012|2012-11-05, 2012.84, 0.001746, -0.010734
A/canine/Korea/DG1/2014|2014-02-13, 2014.12, 0.012466, -0.001555
A/canine/Korea/BD-1/2013|2013-05-30, 2013.41, 0.004591, -0.008575
A/canine/Korea/SH1/2014|2014-09-01, 2014.66, 0.004593, -0.010079
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.006868, -0.000673
A/canine/Korea/KRIBB01/2011|2011-11-01, 2011.82, 0.007438, -0.003813
A/canine/Korea/CY053/2014|2014-03-02, 2014.17, 0.009579, -0.004503
A/canine/Korea/CY009/2010|2010-10-01, 2010.74, 0.011007, 0.001057
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.013124, 0.008389
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.027543, 0.012402
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.027543, 0.012401
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.028958, 0.013804
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.028958, 0.013792
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.010993, 0.006053
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.010289, 0.003892
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.010996, 0.005190
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.014546, 0.004186
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.012416, 0.006970
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.015254, 0.009411
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.010994, -0.000715
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.010994, -0.001485
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.010994, -0.000715
A/canine/Korea/AS-01/2009|2009-09-18, 2009.71, 0.004593, -0.004116
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.008148, -0.001224
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.008148, -0.001224
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.008147, -0.004754
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.011714, 0.001354
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.011710, -0.000216
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.011710, -0.000095
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.014572, 0.003056
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.015976, 0.003665
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.016684, 0.004361
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.015980, 0.003368
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.013840, 0.001180
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.017399, 0.003619
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.020965, 0.004812
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.020964, 0.004810
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.020967, 0.004741
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.028885, 0.012659
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.020249, 0.002481
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.020249, 0.002457
A/canine/Beijing/20140110-2/2014|2014-01-10, 2014.03, 0.016683, 0.002770
A/canine/Beijing/20131112-279/2013|2013-11-12, 2013.85, 0.015269, 0.001572
A/canine/Beijing/20131203-341/2013|2013-12-03, 2013.91, 0.015269, 0.001500
A/canine/Beijing/20140103-90/2014|2014-01-03, 2014.01, 0.015976, 0.002087
A/canine/Beijing/20131203-342/2013|2013-12-03, 2013.91, 0.015977, 0.002209
A/canine/Beijing/20131207-365/2013|2013-12-07, 2013.92, 0.015977, 0.002197
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.006725, -0.002345
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.008862, -0.000305
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.008150, -0.001800
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.010986, -0.001988
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.009570, -0.004090
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.009573, -0.004401
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.010281, -0.003692
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.010282, -0.003378
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.010994, -0.001980
