#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.085438, -0.000000
A/canine/China/11071/2019|2019-02-11, 2019.11, 0.089919, -0.004346
A/canine/Guangdong/GY01/2018|2018-05-01, 2018.33, 0.089919, -0.003349
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.076470, -0.004548
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.081893, -0.002229
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.087668, 0.009626
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.081439, 0.002222
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.081877, 0.003082
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.082313, -0.003942
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.082313, -0.003124
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.086524, 0.002517
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.086524, 0.002517
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.086268, 0.008009
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.084512, 0.004707
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.085388, 0.006209
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.085388, 0.001381
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.077919, -0.005654
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.081445, -0.001706
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.081880, -0.001067
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.080803, -0.001735
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.079241, -0.003808
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.081441, -0.001071
A/canine/Beijing/359/2009|2009-12-17, 2009.95, 0.080808, -0.001756
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.080808, -0.001833
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.079679, -0.002885
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.079680, -0.002871
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.079680, -0.002884
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.079681, -0.003164
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.080120, -0.002929
A/canine/Beijing/418/2010|2010-01-08, 2010.02, 0.081244, -0.001409
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.082808, 0.000257
A/canine/Beijing/420/2010|2010-01-08, 2010.02, 0.082808, 0.000155
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.087507, 0.004765
A/canine/Liaoning/1578/2010|2010-04-06, 2010.26, 0.084372, 0.001413
A/canine/Liaoning/1585/2010|2010-04-06, 2010.26, 0.084372, 0.001413
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.080119, -0.006660
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.080996, -0.006843
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.082316, -0.005523
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.079679, -0.007100
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.079682, -0.007826
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.082319, -0.005188
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.085868, 0.000200
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.088507, 0.001804
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.085870, 0.000330
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.085415, 0.000182
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.088059, 0.001982
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.087180, 0.001091
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.097397, 0.008306
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.096053, 0.006975
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.096053, 0.006949
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.085420, -0.000976
A/canine/Beijing/20131112-279/2013|2013-11-12, 2013.85, 0.088061, 0.000515
A/canine/Beijing/20131203-341/2013|2013-12-03, 2013.91, 0.088939, 0.001317
A/canine/Beijing/20131203-342/2013|2013-12-03, 2013.91, 0.088939, 0.001317
A/canine/Beijing/20140103-90/2014|2014-01-03, 2014.01, 0.088499, 0.000749
A/canine/Beijing/20131207-365/2013|2013-12-07, 2013.92, 0.088499, 0.000864
A/canine/Beijing/20140110-2/2014|2014-01-10, 2014.03, 0.088499, 0.000723
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.086300, -0.000147
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.088059, 0.000424
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.096018, 0.004155
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.096457, 0.004568
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.102631, 0.012403
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.101315, 0.011087
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.092915, 0.003837
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.094676, 0.004524
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.094676, 0.004524
A/canine/Korea/AS-01/2009|2009-09-18, 2009.71, 0.077476, -0.004781
A/canine/Korea/CY053/2014|2014-03-02, 2014.17, 0.083638, -0.004316
A/canine/Korea/KRIBB01/2011|2011-11-01, 2011.82, 0.080557, -0.004396
A/canine/Korea/CY009/2010|2010-10-01, 2010.74, 0.081876, -0.001697
A/canine/Korea/S1/2012|2012-11-05, 2012.84, 0.082637, -0.003618
A/canine/Korea/AS-14/2013|2013-08-09, 2013.6, 0.083641, -0.003586
A/canine/Korea/AS-15/2013|2013-09-11, 2013.69, 0.083642, -0.003700
A/canine/Korea/AS-03/2012|2012-05-10, 2012.36, 0.083205, -0.002438
A/canine/Korea/AS-04/2012|2012-06-11, 2012.44, 0.083205, -0.002540
A/canine/Korea/AS-11/2013|2013-06-08, 2013.43, 0.083644, -0.003366
A/canine/Korea/AS-06/2012|2012-08-24, 2012.64, 0.083643, -0.002357
A/canine/Korea/DG1/2014|2014-02-13, 2014.12, 0.088087, 0.000196
A/canine/Korea/AS-05/2012|2012-07-14, 2012.53, 0.082776, -0.003083
A/canine/Korea/AS-08/2012|2012-09-17, 2012.7, 0.082777, -0.003300
