#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.095218, 0.000000
A/canine/Guangdong/2/2006|2006-08-01, 2006.58, 0.083770, -0.002879
A/canine/Guangdong/1/2007|2007-04-18, 2007.3, 0.083111, -0.004637
A/canine/Guangdong/2/2007|2007-10-18, 2007.79, 0.083111, -0.005384
A/canine/Guangdong/1/2006|2006-06-01, 2006.41, 0.082676, -0.003715
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.083110, -0.013083
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.082235, -0.012982
A/canine/Korea/01/2007|2007-05-01, 2007.33, 0.082674, -0.005119
A/canine/Korea/GCVP01/2007|2007-01-01, 2007.0, 0.082674, -0.004616
A/canine/Korea/LBM412/2008|2008-10-01, 2008.74, 0.091893, 0.001950
A/canine/Beijing/362/2009|2009-12-17, 2009.95, 0.092746, 0.000959
A/canine/Beijing/364/2009|2009-12-17, 2009.95, 0.092748, 0.000960
A/canine/Beijing/295/2009|2009-12-14, 2009.94, 0.091591, -0.000181
A/canine/Beijing/359/2009|2009-12-17, 2009.95, 0.091591, -0.000196
A/canine/Beijing/253/2009|2009-12-09, 2009.93, 0.091591, -0.000166
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.091591, -0.000181
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.090151, -0.003360
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.091472, -0.000895
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.092787, 0.000298
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.091912, -0.000333
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.089715, -0.002408
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.089715, -0.002011
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.089715, -0.002652
A/canine/Guangdong/3/2011|2011-03-01, 2011.17, 0.092786, -0.000862
A/canine/Guangdong/02/2013|2013-04-01, 2013.25, 0.091909, -0.004909
A/canine/Guangdong/02/2014|2014-02-01, 2014.08, 0.091472, -0.006611
A/canine/Guangdong/1/2011|2011-02-01, 2011.08, 0.091473, -0.002037
A/canine/Guangdong/04/2013|2013-11-01, 2013.82, 0.092351, -0.005336
A/canine/Guangdong/03/2013|2013-11-01, 2013.82, 0.092791, -0.004897
A/canine/Guangdong/2/2011|2011-02-01, 2011.08, 0.092352, -0.001159
A/canine/Guangdong/01/2013|2013-04-01, 2013.25, 0.094546, -0.002272
A/canine/Guangdong/01/2014|2014-02-01, 2014.08, 0.093231, -0.004853
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.088399, -0.004593
A/canine/Beijing/418/2010|2010-01-08, 2010.02, 0.090720, -0.001174
