#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
A/canine/Korea/VC123578/2012|2012-03-13, 2012.2, 0.059248, 0.000232
A/canine/Korea/MV1/2012|2012-11-07, 2012.84, 0.059248, -0.000463
A/canine/Korea/VC378/2012|2012-03-13, 2012.2, 0.059248, 0.000232
A/canine/Beijing/20150124-300/2015|2015-01-24, 2015.07, 0.022809, -0.039323
A/canine/Beijing/20150120-265/2015|2015-01-20, 2015.05, 0.038251, -0.023859
A/canine/Beijing/20150122-284/2015|2015-01-22, 2015.06, 0.038251, -0.023869
A/canine/Beijing/20121230-62/2012|2012-12-30, 2012.99, 0.042412, -0.017462
A/canine/Beijing/20150118-256/2015|2015-01-18, 2015.05, 0.042412, -0.019698
A/canine/Beijing/20131204-349/2013|2013-12-04, 2013.92, 0.042413, -0.018471
A/canine/China/JLM2/2015|2015-11-25, 2015.89, 0.044450, -0.018571
A/canine/China/LG2/2015|2015-12-16, 2015.95, 0.044451, -0.018635
A/canine/China/LG1/2015|2015-12-16, 2015.95, 0.045471, -0.017615
A/canine/China/JLM1/2015|2015-11-25, 2015.89, 0.045478, -0.017543
A/canine/Beijing/20131203-341/2013|2013-12-03, 2013.91, 0.043518, -0.017355
A/canine/Beijing/20140103-90/2014|2014-01-03, 2014.01, 0.044537, -0.016444
A/canine/California/043670/2017|2017-03-24, 2017.23, 0.047943, -0.016533
A/canine/California/20170411-20/2017|2017-04-01, 2017.25, 0.047943, -0.016554
A/canine/Beijing/20131207-365/2013|2013-12-07, 2013.92, 0.043519, -0.017365
A/canine/Beijing/20140110-2/2014|2014-01-10, 2014.03, 0.043519, -0.017484
A/canine/Beijing/20131112-279/2013|2013-11-12, 2013.85, 0.043519, -0.017289
A/canine/Beijing/20131203-342/2013|2013-12-03, 2013.91, 0.043519, -0.017354
A/canine/Beijing/20121215-34/2012|2012-12-15, 2012.95, 0.041310, -0.018521
A/canine/Thailand/CU-DC5299/2012|2012-01-15, 2012.04, 0.046428, -0.012415
A/canine/Guangdong/12/2012|2012-09-15, 2012.7, 0.045477, -0.014082
A/canine/Guangdong/23/2012|2012-09-18, 2012.71, 0.045477, -0.014093
A/canine/Liaoning/27/2012|2012-04-11, 2012.28, 0.044440, -0.014664
A/canine/Liaoning/H6/2012|2012-05-19, 2012.38, 0.044440, -0.014772
A/canine/Heilongjiang/L1/2013|2013-03-10, 2013.19, 0.046393, -0.013699
A/canine/Jiangsu/02/2010|2010-03-01, 2010.17, 0.049469, -0.007345
A/canine/Zhejiang/1/2010|2010-09-30, 2010.74, 0.050486, -0.006946
A/canine/Guangdong/05/2011|2011-02-01, 2011.08, 0.050486, -0.007315
A/canine/Jiangsu/04/2010|2010-05-01, 2010.33, 0.049469, -0.007519
A/canine/Jiangsu/03/2010|2010-04-01, 2010.25, 0.049469, -0.007432
A/canine/Jiangsu/01/2009|2009-12-01, 2009.91, 0.049469, -0.007063
A/canine/Jiangsu/05/2010|2010-05-01, 2010.33, 0.049469, -0.007519
A/canine/Beijing/305/2009|2009-12-13, 2009.94, 0.050443, -0.006120
A/canine/Jiangsu/06/2010|2010-06-01, 2010.41, 0.051462, -0.005612
A/canine/Beijing/511/2010|2010-01-03, 2010.01, 0.054526, -0.002113
A/canine/Beijing/1028/2010|2010-02-02, 2010.09, 0.051465, -0.005262
